DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1967-0041-FRA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,FRA,France,Western Europe,Europe,North,,,No,No,No,,,Kph,,,,1967,6.0,25.0,1967,6.0,25.0,5.0,,,,,,,,,20000.0,182684.0,10.947868220219995,,2004-07-06,2023-09-25
1967-0130-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,DC-4,FRA,France,Western Europe,Europe,Mt.Canigou (Pyrenees Orientales),,,No,No,No,,,,,,,1967,6.0,3.0,1967,6.0,3.0,88.0,,,,,,,,,,,10.947868220219995,,2003-07-01,2023-09-25
1967-0131-FRA,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,FRA,France,Western Europe,Europe,"Arette, Lanne, Montory, Aramits, Haux, Sunhar (Pyrénées-Atlantiques)",,,No,No,No,,5.3,Moment Magnitude,43.2,-0.5,,1967,8.0,13.0,1967,8.0,13.0,1.0,80.0,,1020.0,1100.0,,,,,,,10.947868220219995,,2007-03-30,2023-09-25
1968-0139-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Caravelle,FRA,France,Western Europe,Europe,Near Antibes,,,No,No,No,,,,,,,1968,9.0,11.0,1968,9.0,11.0,95.0,,,,,,,,,,,11.415536622304986,,2003-07-01,2023-09-25
1969-0074-FRA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,FRA,France,Western Europe,Europe,"Brittany, Normandy",,,No,No,No,,,Kph,,,,1969,7.0,6.0,1969,7.0,6.0,23.0,,,,,,,,,,,12.039097084637229,,2003-07-01,2023-09-25
1970-0016-FRA,Yes,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,FRA,France,Western Europe,Europe,Val d'Isere,,,No,No,No,,,,,,,1970,2.0,10.0,1970,2.0,10.0,42.0,37.0,,,37.0,,,,,,,12.741968731355533,,2003-07-01,2023-09-25
1970-0027-FRA,Yes,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,FRA,France,Western Europe,Europe,"Plateau d'Assy, St Gervais (Haute-savoie), sanatorium Praz-coutant",,,No,No,No,,,,,,,1970,4.0,16.0,1970,4.0,16.0,72.0,,,,,,,,,,,12.741968731355533,,2003-07-01,2023-09-25
1970-0127-FRA,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Discotheque,FRA,France,Western Europe,Europe,Saint-Laurent-du-Pont,,,No,No,No,,,,,,,1970,11.0,1.0,1970,11.0,1.0,144.0,,,,,,,,,,,12.741968731355533,,2003-07-01,2023-09-25
1972-0004-FRA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,FRA,France,Western Europe,Europe,Near Soissons,,,No,No,No,,,,,,,1972,6.0,16.0,1972,6.0,16.0,108.0,111.0,,,111.0,,,,,,,13.723806345672616,,2003-07-01,2023-09-25
1972-0129-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Vickers Viscount,FRA,France,Western Europe,Europe,Noirétable (Loire),,,No,No,No,,,,,,,1972,10.0,27.0,1972,10.0,27.0,60.0,,,,,,,,,,,13.723806345672616,,2003-07-01,2023-09-25
1973-0120-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Coronado and DC-9,FRA,France,Western Europe,Europe,Near Nantes,,,No,No,No,,,,,,,1973,3.0,5.0,1973,3.0,5.0,68.0,,,,,,,,,,,14.571625482568418,,2003-07-01,2023-09-25
1973-0140-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Boeing 707,FRA,France,Western Europe,Europe,Near Orly (Paris),,,No,No,No,,,,,,,1973,7.0,11.0,1973,7.0,11.0,123.0,,,,,,,,,,,14.571625482568418,,2003-07-01,2023-09-25
1973-0143-FRA,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,FRA,France,Western Europe,Europe,Vizille (Near Grenoble),,,No,No,No,,,,,,,1973,7.0,18.0,1973,7.0,18.0,43.0,6.0,,,6.0,,,,,,,14.571625482568418,,2004-08-25,2023-09-25
1973-0146-FRA,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Collège Pailleron,FRA,France,Western Europe,Europe,Paris,,,No,No,No,,,,,,,1973,2.0,6.0,1973,2.0,6.0,20.0,,,,,,,,,,,14.571625482568418,,2005-09-06,2023-09-25
1974-0016-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,DC-10,FRA,France,Western Europe,Europe,Ermenonville (Oise),,,No,No,No,,,,,,,1974,3.0,3.0,1974,3.0,3.0,346.0,,,,,,,,,,,16.182491954924238,,2003-07-01,2023-09-25
1976-0007-FRA,Yes,tec-ind-che-che,Technological,Industrial accident,Chemical spill,Chemical spill,,Oil,FRA,France,Western Europe,Europe,Ouessant Isl.,,,No,No,No,,,m3,,,,1976,1.0,24.0,1976,1.0,24.0,,,,,,,,,,,,18.676733804253214,,2003-07-01,2023-09-25
1976-0160-FRA,Yes,tec-ind-che-che,Technological,Industrial accident,Chemical spill,Chemical spill,,Oil,FRA,France,Western Europe,Europe,Near Sein Isl.,,,No,No,No,,,m3,,,,1976,10.0,15.0,1976,10.0,15.0,28.0,,,,,,,,,,,18.676733804253214,,2003-07-01,2023-09-25
1976-0178-FRA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,FRA,France,Western Europe,Europe,,,,No,No,No,,,Kph,,,,1976,1.0,,1976,1.0,,,,,,,,,,,,,18.676733804253214,,2003-07-01,2023-09-25
1977-0084-FRA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,FRA,France,Western Europe,Europe,Gers (South West),Heavy rains,,No,No,No,,,Km2,,,Lannemazan,1977,7.0,8.0,1977,7.0,8.0,26.0,,25000.0,,25000.0,,,,,,,19.89103657602198,,2004-01-21,2023-09-25
1978-0010-FRA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,FRA,France,Western Europe,Europe,Marseilles,,,No,No,No,,,Km2,,,,1978,1.0,,1978,1.0,,3.0,,1000.0,,1000.0,,,,,,,21.408916985397124,,2003-07-01,2023-09-25
1978-0043-FRA,Yes,tec-ind-oil-oil,Technological,Industrial accident,Oil spill,Oil spill,,Amoco Cadiz oil spill,FRA,France,Western Europe,Europe,Brittany Coast,,,No,No,No,,,m3,,,,1978,3.0,15.0,1978,3.0,15.0,,,,,,,,,,,,21.408916985397124,,2011-11-17,2023-09-25
1979-0259-FRA,Yes,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,,,FRA,France,Western Europe,Europe,Cote d'Azur,Landslide,,No,No,No,,,Moment Magnitude,43.7,7.25,,1979,10.0,16.0,1979,10.0,16.0,11.0,2.0,,,2.0,,,,,,,23.81837925463355,,2005-04-27,2023-09-25
1980-0113-FRA,Yes,tec-ind-che-che,Technological,Industrial accident,Chemical spill,Chemical spill,,Oil,FRA,France,Western Europe,Europe,Near Batz Isl.,,,No,No,No,,,m3,,,,1980,3.0,7.0,1980,3.0,7.0,8.0,,,,,,,,,,,27.045580595051682,,2003-07-01,2023-09-25
1980-0237-FRA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,FRA,France,Western Europe,Europe,Central Region,,,No,No,No,,,Km2,,,,1980,9.0,21.0,1980,9.0,21.0,6.0,13.0,300.0,,313.0,,,,,,,27.045580595051682,,2003-07-01,2023-09-25
1981-0103-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,DC-9,FRA,France,Western Europe,Europe,Near Ajaccio (Corse),,,No,No,No,,,,,,,1981,12.0,1.0,1981,12.0,1.0,180.0,,,,,,,,,,,29.840661994805405,,2003-07-01,2023-09-25
1981-0217-FRA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,FRA,France,Western Europe,Europe,"Gironde, Lot-Et-Garonne departments",,,No,No,No,,,Km2,,,,1981,12.0,20.0,1981,12.0,20.0,,,,,,,,,,,,29.840661994805405,,2003-07-01,2023-09-25
1982-0119-FRA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,FRA,France,Western Europe,Europe,"Seine, Saone, Charente, Loire departments",,,No,No,No,,,Kph,,,,1982,11.0,6.0,1982,11.0,9.0,12.0,,,,,,,,,350000.0,1105136.0,31.670318746018296,,2004-07-06,2023-09-25
1982-0122-FRA,Yes,tec-tra-roa-roa,Technological,Transport,Road,Road,,,FRA,France,Western Europe,Europe,Beaune,,,No,No,No,,,,,,,1982,,,1982,,,53.0,,,,,,,,,,,31.670318746018296,,2003-07-01,2023-09-25
1982-0302-FRA,Yes,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,FRA,France,Western Europe,Europe,French Alps,,,No,No,No,,,,,,,1982,3.0,15.0,1982,3.0,15.0,13.0,,,,,,,,,,,31.670318746018296,,2003-07-01,2023-09-25
1982-0304-FRA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,FRA,France,Western Europe,Europe,South-East departments,,,No,No,No,,150.0,Km2,,,,1982,8.0,24.0,1982,8.0,24.0,2.0,18.0,,,18.0,,,,,,,31.670318746018296,,2003-07-01,2023-09-25
1982-0305-FRA,Yes,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,FRA,France,Western Europe,Europe,Val d'Isere,,,No,No,No,,,,,,,1982,12.0,5.0,1982,12.0,5.0,3.0,,,,,,,,,,,31.670318746018296,,2003-07-01,2023-09-25
1982-0336-FRA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,FRA,France,Western Europe,Europe,,,,No,No,No,,,Kph,,,,1982,1.0,15.0,1982,1.0,15.0,,,,,,,,,,,,31.670318746018296,,2003-07-01,2023-09-25
1983-0103-FRA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,FRA,France,Western Europe,Europe,Basque region,,,No,No,No,,,Km2,,,,1983,8.0,,1983,8.0,,,,,,,,,,,5500.0,16826.0,32.68770482175597,,2003-07-01,2023-09-25
1983-0208-FRA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,FRA,France,Western Europe,Europe,,,,No,No,No,,,Km2,,,,1983,8.0,,1983,8.0,,12.0,,,,,,,,,,,32.68770482175597,,2003-07-01,2023-09-25
1983-0341-FRA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,FRA,France,Western Europe,Europe,,,,No,No,No,,,Kph,,,,1983,2.0,,1983,2.0,,,,,,,,,,,,,32.68770482175597,,2003-07-01,2023-09-25
1983-0342-FRA,Yes,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,FRA,France,Western Europe,Europe,"Mont Blanc, Pyrenees",,,No,No,No,,,,,,,1983,2.0,27.0,1983,2.0,27.0,9.0,15.0,,,15.0,,,,,,,32.68770482175597,,2003-07-01,2023-09-25
1983-0343-FRA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,FRA,France,Western Europe,Europe,"North, East",,,No,No,No,,,Km2,,,,1983,3.0,,1983,5.0,,18.0,12.0,200.0,,212.0,,,,,604000.0,1847790.0,32.68770482175597,,2004-01-21,2023-09-25
1983-0344-FRA,Yes,nat-hyd-mmw-ava,Natural,Hydrological,Mass movement (wet),Avalanche (wet),,,FRA,France,Western Europe,Europe,Chamonix,,,No,No,No,,,,,,,1983,7.0,9.0,1983,7.0,9.0,5.0,5.0,,,5.0,,,,,,,32.68770482175597,,2003-07-01,2023-09-25
1983-0345-FRA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,FRA,France,Western Europe,Europe,Alsace,,,No,No,No,,,Km2,,,,1983,5.0,28.0,1983,5.0,28.0,,,3500.0,,3500.0,,,,,,,32.68770482175597,,2003-07-01,2023-09-25
1983-0346-FRA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,FRA,France,Western Europe,Europe,"Central, South-West regions",,,No,No,No,,,Kph,,,,1983,7.0,26.0,1983,7.0,26.0,11.0,,,,,,,,,,,32.68770482175597,,2003-07-01,2023-09-25
1983-0348-FRA,Yes,tec-ind-che-che,Technological,Industrial accident,Chemical spill,Chemical spill,,,FRA,France,Western Europe,Europe,Chauny,,,No,No,No,,,m3,,,,1983,11.0,3.0,1983,11.0,3.0,,,1000.0,,1000.0,,,,,,,32.68770482175597,,2003-07-01,2023-09-25
1984-0061-FRA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,FRA,France,Western Europe,Europe,,,,No,No,No,,,Kph,,,,1984,7.0,11.0,1984,7.0,11.0,4.0,,,,,,,,,,,34.09345589384933,,2008-04-03,2023-09-25
1984-0254-FRA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,FRA,France,Western Europe,Europe,"Northwest, Southern",,,No,No,No,,,Km2,,,,1984,4.0,25.0,1984,4.0,25.0,,,,,,,,,,,,34.09345589384933,,2003-07-01,2023-09-25
1984-0256-FRA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,FRA,France,Western Europe,Europe,Southern,,,No,No,No,,,Km2,,,,1984,7.0,12.0,1984,7.0,12.0,,,,,,,,,,,,34.09345589384933,,2003-07-01,2023-09-25
1984-0257-FRA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hortense,FRA,France,Western Europe,Europe,,,,No,No,No,,,Kph,,,,1984,10.0,5.0,1984,10.0,5.0,,,,,,,,,,,,34.09345589384933,,2003-07-01,2023-09-25
1984-0258-FRA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,FRA,France,Western Europe,Europe,,,,No,No,No,,,Kph,,,,1984,11.0,21.0,1984,11.0,21.0,,,,,,,,,,,,34.09345589384933,,2003-07-01,2023-09-25
1985-0034-FRA,Yes,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Coal mine,FRA,France,Western Europe,Europe,Forbach,,,No,No,No,,,m3,,,,1985,2.0,25.0,1985,2.0,25.0,22.0,103.0,,,103.0,,,,,,,35.302282491254836,,2003-07-01,2023-09-25
1985-0087-FRA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,FRA,France,Western Europe,Europe,"South, Corsica",,,No,No,No,,45.0,Km2,,,,1985,8.0,,1985,8.0,,6.0,130.0,,,130.0,,,,,,,35.302282491254836,,2003-07-01,2023-09-25
1985-0093-FRA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,FRA,France,Western Europe,Europe,"Flaujac, near Figeac (Lot)",,,No,No,No,,,,,,,1985,8.0,3.0,1985,8.0,3.0,35.0,165.0,,,165.0,,,,,,,35.302282491254836,,2003-07-01,2023-09-25
1985-0105-FRA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,FRA,France,Western Europe,Europe,Argenton-sur-Creuse (Indre),,,No,No,No,,,,,,,1985,8.0,31.0,1985,8.0,31.0,43.0,37.0,,,37.0,,,,,,,35.302282491254836,,2003-07-01,2023-09-25
1985-0175-FRA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,FRA,France,Western Europe,Europe,,,,No,No,No,,,Kph,,,,1985,8.0,,1985,8.0,,,,,,,,,,,,,35.302282491254836,,2003-07-01,2023-09-25
1985-0250-FRA,Yes,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,,FRA,France,Western Europe,Europe,Beauvais,,,No,No,No,,,,,,,1985,1.0,9.0,1985,1.0,9.0,24.0,,,,,,,,,,,35.302282491254836,,2003-07-01,2023-09-25
1985-0251-FRA,Yes,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,FRA,France,Western Europe,Europe,Countrywide,,,No,No,No,,,°C,,,,1985,1.0,15.0,1985,1.0,30.0,,,,,,,,132300.0,374763.0,,,35.302282491254836,,2010-07-29,2023-09-25
1986-0083-FRA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,FRA,France,Western Europe,Europe,"Languedoc, Roussillon, Provence, Cote d'Azur",,,No,No,No,,40.0,Km2,,,,1986,7.0,24.0,1986,7.0,24.0,5.0,,2000.0,,2000.0,,,,,,,35.97234376373418,,2003-07-01,2023-09-25
1987-0109-FRA,Yes,tec-ind-fir-fir,Technological,Industrial accident,Fire (Industrial),Fire (Industrial),,Gasoline storage tanks,FRA,France,Western Europe,Europe,Lyon Port,,,No,No,No,,,m3,,,,1987,6.0,2.0,1987,6.0,2.0,,16.0,,,16.0,,,,,,,37.29056938989661,,2003-07-01,2023-09-25
1987-0192-FRA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,FRA,France,Western Europe,Europe,"Bretagne, Normandie",,,No,No,No,,200.0,Kph,,,,1987,10.0,16.0,1987,10.0,16.0,4.0,,,,,,,,,1700000.0,4558793.0,37.29056938989661,,2003-07-01,2023-09-25
1987-0307-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,,FRA,France,Western Europe,Europe,Eysines (Near Bordeaux),,,No,No,No,,,,,,,1987,12.0,21.0,1987,12.0,21.0,16.0,,,,,,,,,,,37.29056938989661,,2003-07-01,2023-09-25
1987-0395-FRA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,FRA,France,Western Europe,Europe,Grand-Bornand,,,No,No,No,,,Km2,,,,1987,7.0,14.0,1987,7.0,14.0,23.0,,,,,,,,,,,37.29056938989661,,2003-07-01,2023-09-25
1988-0113-FRA,Yes,tec-tra-air-air,Technological,Transport,Air,Air,,Fairchild Fh-227,FRA,France,Western Europe,Europe,Machault,,,No,No,No,,,,,,,1988,3.0,4.0,1988,3.0,4.0,23.0,,,,,,,,,,,38.81118010779662,,2003-07-01,2023-09-25
1988-0282-FRA,Yes,tec-tra-rai-rai,Technological,Transport,Rail,Rail,,,FRA,France,Western Europe,Europe,Paris,,,No,No,No,,,,,,,1988,6.0,27.0,1988,6.0,27.0,56.0,43.0,,,43.0,,,,,,,38.81118010779662,,2003-07-01,2023-09-25
1988-0698-FRA,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,FRA,France,Western Europe,Europe,Nimes (Gard),Brief torrential rains,,No,No,No,,710.0,Km2,,,,1988,10.0,3.0,1988,10.0,3.0,10.0,,300.0,,300.0,,,,,500000.0,1288289.0,38.81118010779662,,2004-01-21,2023-09-25
